Sl. No.,Classification,Name and address of the industry,Latitude,Longitude,Remarks,Source
100,"Bulk Drug and
Pharmaceuticals","Sapthagiri Sciences and Services., Plot No.19-B,Chikkaballapura Indl Area,Nandi
Chikkaballapura",13.4354985,77.7315344,,KSPCB 17 Category List
101,Bulk Drug and,"Kalpasthana Life Care Products Pvt Ltd.,Plot No.105,Part A,KIADB Indul",,,,KSPCB 17 Category List
,Pharmaceuticals,"Area,Humnabad,Bidar",17.7682755,77.1312586,,KSPCB 17 Category List
102,"Bulk Drug and
Pharmaceuticals","Neo Anthem Life Science Pvt Ltd.,314-p & 318-p,Sy no.170,Bannikuppe
Road,KIADB Indl Area,Phase-III,Horohalli Hobli Kanakapura Ramanagar.",12.7208614,77.2798963,,KSPCB 17 Category List
103,Bulk Drug and Pharmaceuticals,"MM HERBS(Formerly known as Sunanda Organics).,Sy No.445,Mysore-KRS Road,Metagalli,mysore 570016",12.368683,76.625,,KSPCB 17 Category List
104,"Bulk Drug and
Pharmaceuticals","Vigilant Technologies.,Sy No.104,Humnabad Indl Area,Gadawanthi
village,Humnabad,Bidar",17.7628844,77.0938583,,KSPCB 17 Category List
105,"Bulk Drug and
Pharmaceuticals","Seutic Labs Private Limited., Plot No.4P2,KIADB Indl Area,Humnabad,Bidar",17.7662752,77.0992912,,KSPCB 17 Category List
106,"Bulk Drug and
Pharmaceuticals","Pharma Noble Chem Limited., Plot No.279 to 300,Kadechur Indl Area, Kadechur,
Yadgir",16.5363051,77.304101,,KSPCB 17 Category List
107,"Bulk Drug and
Pharmaceuticals","Tetrachem Labs,Plot No.64,Kadechur Indl Area,Yadgir Taluk,Yadgir
District,Kadechur",16.517157,77.3266991,,KSPCB 17 Category List
108,"Bulk Drug and
Pharmaceuticals","Bondbay Pharmaceuticals Private Limited.,Plot No.483,Road No.2,Kadechur
Industrial Area,Kadechur,Yadgir",16.5363051,77.304101,,KSPCB 17 Category List
109,"Bulk Drug and
Pharmaceuticals","Mansfield Pharma Pvt Ltd.,Plot No.63,kadechur indl Area,Yadgir taluk & district",16.517157,77.3266991,,KSPCB 17 Category List
110,"Bulk Drug and
Pharmaceuticals","FCR Organics.,Plot No.277 & 278, Kadechur Industrial Area,Yadgir Taluk & District",16.5248081,77.3077708,,KSPCB 17 Category List
111,"Bulk Drug and
Pharmaceuticals","J.Y.Pharma Pvt Ltd.,Plot No.123 &  124,Raichur growth Centre Raichur taluk & Dist",16.216018,77.3565608,,KSPCB 17 Category List
112,"Bulk Drug and
Pharmaceuticals","Sami Nutraceuticals Pvt Ltd.,(Formerly Semi Labs Limited.,) Plot No.110-P,111-P &
112-P,Pharmaceutical SEZ,KIADB Indl Area,Hassan",12.9669483,76.1125307,,KSPCB 17 Category List
113,Bulk Drug and Pharmaceuticals,"Ramsay Laboratories Private Limited., Plot 267,Kadechur Industrial Area,Kadechur,Yadgir",16.5363051,77.304101,,KSPCB 17 Category List
114,Pesticides,"Popular Chemicals Manufactures and supplies,Plot No.380,village Karagada,Tehsil-
Belur,Hassan",13.233332,75.855799,,KSPCB 17 Category List
115,"Bulk Drug and
Pharmaceuticals","SVP Chemicals pvt ltd.,Plot No.Sy No.54/3, Navage village jamboti road,belgaum",15.6910084,74.3660784,,KSPCB 17 Category List
116,Bulk Drug and Pharmaceuticals,"Omkrown Pharma Chem Pvt Ltd., 422/4,Khanapur Road,Macche, Belgaum",15.774789,74.486284,,KSPCB 17 Category List
117,"Bulk Drug and
Pharmaceuticals","Dynarx Technology(India)Ltd.,Plot No.23,KIADB Industrial Area,2nd
Phase,Gauribidanur,Chikkabidanu,Chikkaballapur",12.951306,77.576562,,KSPCB 17 Category List
118,Pesticides,"Bonageri Life Sciences ltd., plot no.546/a,belur indl area,belur dharwad",15.5025668,74.9079864,,KSPCB 17 Category List
119,"Bulk Drug and
Pharmaceuticals","Shilpa Biologicals Private Ltd., Plot No.531,532A,Belur Industrail Area,KIADB
Growth Center,Bellur,Dharwad",15.5091247,74.9150313,,KSPCB 17 Category List
120,"Bulk Drug and
Pharmaceuticals","Sriven Pharmachem India Pvt Ltd., Plot No.264,Kadechur Indl Area, Yadgir",16.517157,77.3266991,,KSPCB 17 Category List
121,"Bulk Drug and
Pharmaceuticals","KST Pharmaceuticals., Plot No.99P,KIADB Indl Area, Humnabad, Bidar",17.7628844,77.0938583,,KSPCB 17 Category List
122,"Bulk Drug and
Pharmaceuticals","Tarunya Life Science Pvt Ltd., Plot No.65GHIJ & 59,Humnabad Indl
Area,Gadavanthi, Humnabad Bidar",17.7628844,77.0938583,,KSPCB 17 Category List
123,"Bulk Drug and
Pharmaceuticals","Shree Venus Health Sciences, Plot No.199(P1),sy no.108(part)& 72(part),Raichur
Growth Center,Indl Area,Raichur",16.216018,77.3565608,,KSPCB 17 Category List
124,"Bulk Drug and
Pharmaceuticals","Sreevari Natural & Dairy products Plot No.282,283 & 284 Kolhar Indl area,Bidar",17.9103939,77.5199079,,KSPCB 17 Category List
125,"Bulk Drug and
Pharmaceuticals","Stelis Biopharma Pvt Ltd.,(unit-3) Plot no.68/A,Bommasandra Jigani Indl
Area,Bangalore-560056",12.7914347,77.6575557,,KSPCB 17 Category List
126,"Bulk Drug and
Pharmaceuticals","Sun pharmaceuticals Industries Ltd.,Sy No.16,Ekarajapura,Siddlagha Road,Hasigala
Post,Hoskote",13.1368668,77.7709558,,KSPCB 17 Category List
127,Bulk Drug and Pharmaceuticals,"Venus Chemicals & Drugs(P)Ltd.,Plot No.197(P),Raichur Growth Cenre,Chikasugur Village Raichur",16.1924075,77.3394929,,KSPCB 17 Category List
128,Caustic soda,"Aditya Birla Chemicals (India) Ltd., (Formerly Solaris ChemTech Ltd), Binaga,
Karwar, U.K District",14.7835142,74.1260454,,KSPCB 17 Category List
129,Cement,"A.C.C Limited - New Wadi plant, P.O. Wadi-585 225 Kalburgi District.",17.0580556,76.9813889,,KSPCB 17 Category List
130,Cement,"A.C.C. Limited - Old Wadi Plant, P.O. Wadi-585 225 Kalburgi District.",17.0580556,76.9813889,,KSPCB 17 Category List
131,Cement,"Chettinadu Cement Corporation Limited, Sangem k Village, Chincholi Taluk,
Kalburgi District",17.4610238,77.4192758,,KSPCB 17 Category List
132,Cement,"Ultratech Cements                    (Rajashree Cements) (ISO 14000), Adityanagar,
Malkhed Road, Sedam Taluk, Kalburgi District.",17.1465828,77.1676556,,KSPCB 17 Category List
133,Cement,Vasavadatta Cements (ISO 14000) Sedam-585 222 Kalburgi District.,17.1649022,77.3145676,,KSPCB 17 Category List
134,Cement,"JAYPEE (Zawar) Cements Pvt. Limited, Shahabad, Kalburgi",17.1296741,76.947022,,KSPCB 17 Category List
